,code,mean_rt,word,surprisal
683,18504,278.65333333333336,and,4.60665
684,18505,348.02349999999996,frightening,16.5336
686,18507,299.34761904761905,whose,15.5201
687,18508,359.1328571428571,bright,15.3328
688,18509,324.2057142857143,blue,14.7887
689,18510,294.781,eyes,6.21132
691,18512,415.7728571428571,with,7.28026
692,18513,379.20950000000005,a,3.7548
693,18514,324.6490476190476,kind,11.8051
694,18515,314.4825,of,0.769769
695,18516,286.56428571428575,frozen,15.879
697,18518,325.77238095238096,into,9.06367
699,18520,277.70714285714286,He,5.6328
700,18521,276.82238095238097,had,6.39844
701,18522,263.385,a,4.9881
703,18524,274.70428571428573,frank,17.1347
704,18525,331.84285714285716,Irish,15.4078
707,18528,364.8375,in,5.80341
708,18529,299.31142857142856,a,3.87311
711,18532,299.8542857142857,that,6.06951
712,18533,328.5795,stayed,15.4532
714,18535,343.8066666666667,in,5.9754
715,18536,325.40999999999997,place,9.62071
716,18537,346.2947368421053,even,11.6621
717,18538,286.4323809523809,when,5.93179
718,18539,267.11285714285714,he,4.45588
719,18540,285.242,was,2.70338
720,18541,417.74333333333334,pumping,17.0879
721,18542,365.4552380952381,bullets,17.3398
722,18543,316.95285714285717,into,9.68571
725,18546,281.1114285714286,He,5.6328
726,18547,312.3333333333333,carried,15.316
727,18548,290.44714285714286,three,11.8941
728,18549,283.581,guns --,16.7478
729,18550,303.25428571428574,one,7.58365
730,18551,269.57095238095235,in,6.11007
731,18552,262.6,the,3.05943
732,18553,352.90523809523813,right,9.65172
735,18556,304.802380952381,one,11.2097
736,18557,278.86285714285714,under,10.6798
737,18558,302.9871428571428,his,7.05824
738,18559,293.0447619047619,left,12.6898
740,18561,358.1252380952381,one,10.8521
741,18562,308.992380952381,in,5.90201
742,18563,247.22285714285715,the,3.05943
743,18564,302.5133333333333,left,14.8434
744,18565,347.44500000000005,outside,12.5765
745,18566,393.0609523809524,coat,17.8469
746,18567,354.5255,pocket --,16.8057
747,18568,335.87619047619046,and,3.88588
748,18569,301.2590476190476,was,8.65907
749,18570,273.1580952380952,equally,16.3216
750,18571,332.9709523809523,lethal,17.3054
751,18572,283.8747619047619,with,8.31522
752,18573,274.3385714285714,both,9.82368
754,18575,270.3390476190476,He,5.6328
755,18576,317.59714285714284,killed,15.8342
758,18579,306.8019047619048,and,5.00457
760,18581,305.4638095238095,The,2.68215
761,18582,303.7604761904762,police,14.3715
762,18583,348.30285714285714,credited,15.4511
763,18584,351.2404761904762,him,11.4926
764,18585,298.04285714285714,with,6.00387
766,18587,364.1257142857143,murders,16.7744
767,18588,325.7690476190476,but,10.5843
768,18589,290.0080952380952,he,8.31275
769,18590,274.62666666666667,was,4.87935
770,18591,284.92238095238093,never,8.59724
771,18592,296.61,brought,13.2486
772,18593,332.6247619047619,to,4.23335
773,18594,269.95428571428573,trial,12.6354
774,18595,263.3657142857143,for,8.86742
775,18596,251.19619047619048,one,7.877
776,18597,287.16857142857145,of,3.47446
778,18599,282.03857142857146,Like,9.93886
779,18600,256.6357142857143,a,7.14562
780,18601,271.0233333333333,fair,11.464
781,18602,293.6257142857143,number,13.0482
782,18603,273.1638095238095,of,1.16726
784,18605,413.79714285714283,he,12.006
787,18608,354.33000000000004,He,5.6328
788,18609,359.49,was,4.8669
789,18610,304.38571428571424,an,6.65038
790,18611,330.4947619047619,expert,9.87915
794,18615,382.77,in,5.86469
795,18616,301.5957142857143,the,3.04098
796,18617,318.1928571428572,arrangement,17.4455
797,18618,288.8090476190476,of,7.11023
799,18620,299.9009523809524,and,4.34672
801,18622,296.5057142857143,He,5.6328
802,18623,297.21999999999997,had,6.39844
803,18624,302.81904761904764,no,6.84409
804,18625,336.94190476190477,apparent,15.264
806,18627,374.0395238095238,of,5.83894
808,18629,358.103,he,12.0231
809,18630,390.4533333333334,divided,15.6143
810,18631,394.2133333333333,humanity,17.5597
811,18632,347.94666666666666,into,9.87083
814,18635,326.0242857142857,and,5.00457
817,18638,295.10285714285715,and,5.07448
818,18639,268.28666666666663,the,4.82578
819,18640,313.6419047619048,wrong,11.2085
820,18641,319.68,ones,14.0393
821,18642,295.4866666666667,he,11.2636
822,18643,288.4742857142857,was,4.78926
823,18644,284.53761904761905,always,11.0847
824,18645,290.8809523809524,willing,8.50255
825,18646,277.25714285714287,to,0.543945
826,18647,282.8566666666667,kill,10.6122
827,18648,353.5809523809524,and,7.18421
830,18651,298.75428571428574,He,5.6328
831,18652,349.25333333333333,had,6.39844
832,18653,279.82666666666665,what,12.4991
833,18654,300.3857142857143,was,5.56796
834,18655,302.2528571428572,described,12.0094
