,word,wlen,surp,mono_gaze_dur,mono_fix_pup_size,l2_gaze_dur,l2_fix_pup_size
246,a,1,4.07166862487793,167.6,1950.8,146.0,2609.0
247,most,4,9.721863746643066,236.84615384615384,1899.076923076923,257.6666666666667,2314.055555555556
248,generous,8,18.396413803100582,175.08333333333334,2052.6666666666665,204.375,2319.75
249,and,3,4.4213643074035645,181.8571428571429,1962.142857142857,194.25,1993.375
250,possessed,9,16.194299697875977,379.7857142857143,1892.4107142857144,284.55555555555554,2233.5177777777776
251,a,1,5.30224609375,75.0,2656.0,160.5,1887.5
252,considerable,12,12.00341796875,312.0769230769231,1800.916923076923,427.375,2088.04375
253,fortune,7,13.586285591125488,283.2857142857143,1823.8092857142856,217.11111111111111,2214.6944444444443
254,of,2,5.756326198577881,139.0,1763.0,238.5,2521.25
255,her,3,7.89199161529541,324.22222222222223,1683.8144444444445,303.1666666666667,2329.4166666666665
256,Their,5,12.86060905456543,214.3571428571429,1790.75,296.6666666666667,2240.3888888888887
257,Styles,6,18.34444999694824,300.75,2029.7291666666667,335.55555555555554,2276.776666666666
258,had,3,8.62105941772461,284.25,1882.0,186.0,2375.8
259,been,4,5.175407886505127,203.0,1965.7,287.25,2237.03125
260,purchased,9,10.720799446105955,291.42857142857144,1823.8392857142856,369.6666666666667,2270.055555555556
261,by,2,4.852107524871826,259.5,1913.0,163.0,2240.0
262,Cavendish,9,18.482635498046875,221.63636363636363,1792.3636363636365,391.5,2269.66625
263,early,5,12.67435073852539,215.92307692307693,1721.897692307692,265.7142857142857,2240.1428571428573
264,in,2,6.299903869628906,188.66666666666663,1640.3333333333333,160.5,2696.0
265,their,5,7.656271934509277,155.27272727272728,1758.5454545454545,160.5,2260.5
266,married,7,15.945318222045898,422.125,1774.625,346.8333333333333,2242.333333333333
267,He,2,7.745289802551269,217.54545454545453,1986.302727272728,228.16666666666663,2485.833333333333
268,had,3,4.728113651275635,215.4,2276.267,153.0,2382.75
269,been,4,5.190418243408203,191.7,2137.95,235.77777777777777,2596.518888888889
270,completely,10,10.945789337158203,218.42857142857144,2106.0,247.8571428571429,2540.94
271,under,5,9.007645606994627,244.91666666666663,2138.7916666666665,208.7142857142857,2603.285714285714
272,his,3,5.8300323486328125,207.5,2297.625,219.4,2651.334
273,so,2,11.97089958190918,242.125,2255.75,174.0,2276.5
274,much,4,10.666592597961426,200.9,2112.6,284.75,2517.25
275,so,2,10.596346855163574,270.5,2028.25,167.0,2408.0
276,on,2,6.359899044036865,219.3333333333333,1917.055555555556,244.5,2074.5
277,he,2,8.563254356384277,226.75,1952.3125,187.16666666666663,3011.611666666666
278,left,4,7.614379405975342,230.8333333333333,2266.8891666666664,240.66666666666663,2775.5
279,the,3,3.577287673950196,191.11111111111111,2277.3888888888887,183.0,2518.238571428571
280,place,5,10.816715240478516,205.1,2334.467,238.3333333333333,2634.9622222222224
281,to,2,4.969088554382324,253.1428571428572,2005.642857142857,151.25,2375.375
282,her,3,7.705711364746094,287.85714285714283,2073.714285714286,250.5,2610.375
283,for,3,8.006534576416016,201.11111111111111,2147.833333333333,275.125,2666.79125
284,her,3,7.119705677032471,212.1428571428572,2296.0,254.8571428571429,2589.0242857142853
