,word,wlen,surp,l1_gaze_dur,l1_fix_pup_size
331,toen,4.0,13.171381950378418,213.66666666666663,2151.6666666666665
332,hun,3.0,15.129955291748049,191.8571428571429,1939.857142857143
333,vader,5.0,10.952763557434082,246.8333333333333,2068.971666666667
334,dat,3.0,8.579668045043945,222.4,1670.8
335,zij,3.0,12.574567794799805,287.85714285714283,1953.2142857142856
336,haar,4.0,13.197220802307127,197.0,1849.4
337,als,3.0,12.362261772155762,331.0,1868.0
338,hun,3.0,12.597229957580566,187.125,1943.375
339,eigen,5.0,8.47497844696045,167.66666666666666,1915.5833333333333
340,moeder,6.0,11.980372428894045,178.83333333333334,1819.5
341,de,2.0,7.462513446807861,89.0,1849.0
342,had,3.0,11.47317123413086,237.8,1976.8
343,als,3.0,11.787911415100098,227.0,1910.0957142857144
344,kind,4.0,14.224833488464355,311.1428571428572,2013.2142857142856
345,nogal,5.0,15.522239685058594,220.0,1888.083
346,met,3.0,7.617504596710205,124.25,1677.125
347,zijn,4.0,13.00168800354004,267.2857142857143,1907.2614285714285
348,gezondheid,10.0,14.558837890625,169.5,1915.337
349,Hij,3.0,13.071492195129396,203.3333333333333,2070.443333333333
350,was,3.0,6.732760429382324,204.44444444444449,2044.925555555556
351,arts,4.0,18.392578125,241.11111111111111,1866.6666666666667
352,maar,4.0,14.48901653289795,217.57142857142856,1911.642857142857
353,had,3.0,10.372193336486816,188.57142857142856,2057.095714285714
354,al,2.0,8.523002624511719,242.0,1923.2385714285715
355,het,3.0,10.589902877807615,148.83333333333334,2005.9166666666667
356,Hij,3.0,13.071492195129396,196.0,2046.0
357,woonde,6.0,14.764198303222656,169.6,2121.85
358,nu,2.0,11.29070281982422,161.4,2094.4
359,thuis,5.0,20.66590118408203,178.2,2182.717
360,en,2.0,2.471311569213867,253.0,1833.3333333333333
361,had,3.0,9.40928077697754,190.11111111111111,2070.777777777778
362,letterkundige,13.0,20.106046676635746,262.22222222222223,2130.491111111111
363,zijn,4.0,12.822632789611816,216.8,2123.0
364,gedichten,9.0,11.550163269042969,245.0,2348.75
365,hadden,6.0,11.040492057800291,254.375,2277.8125
366,echter,6.0,15.147509574890137,293.22222222222223,2053.5744444444445
367,nooit,5.0,10.55404567718506,253.625,2241.79125
368,enig,4.0,18.8934268951416,185.6,2205.1
369,John,4.0,11.859992027282717,212.8571428571429,2081.0
370,was,3.0,9.414788246154783,263.8333333333333,2269.6666666666665
371,enige,5.0,14.125112533569336,191.42857142857144,2189.167142857143
372,tijd,4.0,17.356191635131836,201.88888888888889,2251.4444444444443
373,advocaat,8.0,22.01762962341309,267.3,2230.85
374,maar,4.0,13.120771408081056,228.22222222222223,2277.5733333333333
375,hij,3.0,12.678709983825684,142.2,2328.4
376,had,3.0,10.8462553024292,314.2,2092.6
377,uiteindelijk,12.0,20.75702857971192,278.22222222222223,2289.0
378,gekozen,7.0,21.33330726623535,213.2,2171.6
379,voor,4.0,12.10264492034912,156.33333333333334,1850.4433333333327
380,het,3.0,8.039166450500488,199.66666666666663,2346.6666666666665
381,leven,5.0,8.66590690612793,203.57142857142856,2141.0714285714284
382,van,3.0,3.670422792434693,169.5,1826.75
383,Twee,4.0,15.973321914672852,253.0,2333.928571428572
384,jaar,4.0,13.439614295959473,223.0,2013.6666666666667
385,geleden,7.0,18.62710189819336,198.0,2240.6666666666665
386,was,3.0,7.583230972290039,227.5,2236.0
387,hij,3.0,11.193601608276367,171.25,1852.5
388,getrouwd,8.0,20.8803653717041,270.9,2234.075
389,en,2.0,4.388193607330322,145.0,2266.25
390,met,3.0,8.452857971191406,264.57142857142856,2198.4757142857143
391,zijn,4.0,13.007991790771484,198.28571428571428,1992.7142857142856
392,vrouw,5.0,12.877960205078123,186.625,2240.45875
393,op,2.0,6.643919467926025,197.66666666666663,2033.8333333333333
394,komen,5.0,13.552205085754396,231.42857142857144,2132.0
395,hoewel,6.0,23.66650009155273,277.625,2019.5
396,ik,2.0,10.230536460876465,233.0,1855.125
397,een,3.0,5.730531692504883,204.11111111111111,2045.852222222222
398,stil,4.0,15.653244018554688,245.5,1896.02125
399,vermoeden,9.0,19.294925689697266,176.7,1998.033
400,had,3.0,8.76014518737793,187.5,2118.75
401,dat,3.0,6.967230319976807,236.16666666666663,1951.0
402,hij,3.0,9.574115753173828,171.5,2119.083333333333
403,liever,6.0,16.25103187561035,130.22222222222223,1969.8333333333333
404,een,3.0,5.931478023529053,149.66666666666666,1693.0
405,grotere,7.0,10.853694915771484,197.125,2032.04125
406,van,3.0,5.246039867401123,179.0,1719.75
407,zijn,4.0,12.516412734985352,240.66666666666663,2043.638333333333
408,moeder,6.0,14.764628410339355,174.28571428571428,1926.7142857142856
409,zou,3.0,13.126609802246094,210.75,1876.0
