,word,sentid,sentpos,wlen,surp,entropy,entred
173,stayed,9,7,6,16.718332290649414,8.113542556762695,1.7714204788208008
174,at,9,8,2,5.512002944946289,6.567519187927246,1.5460233688354492
175,<unk>,9,9,5,23.59362030029297,10.31668186187744,0.0
176,his,9,10,3,10.35501766204834,8.286670684814453,2.0300111770629883
177,<unk>,9,11,5,25.8184871673584,12.156147956848145,0.0
178,place,9,12,5,13.109783172607422,7.83615779876709,4.319990158081055
179,in,9,13,2,2.83262300491333,5.785685062408447,2.0504727363586426
180,<unk>,9,14,5,23.59753799438477,10.294710159301758,0.0
181,We,10,0,2,11.362457275390623,13.10289478302002,0.0
182,had,10,1,3,9.807639122009276,11.216254234313965,1.886640548706055
183,a,10,2,1,4.014493465423584,9.994779586791992,1.2214746475219729
184,good,10,3,4,9.359941482543944,12.324628829956056,0.0
185,yarn,10,4,4,22.2504825592041,11.731860160827637,0.592768669128418
186,about,10,5,5,10.944562911987305,10.146994590759276,1.5848655700683594
187,old,10,6,3,13.7521333694458,9.5736083984375,0.5733861923217773
188,<unk>,10,7,5,23.900733947753903,10.828274726867676,0.0
189,and,10,8,3,3.9717721939086914,8.638916969299316,2.18935775756836
190,it,10,9,2,8.202547073364258,12.460289001464844,0.0
191,ended,10,10,5,10.498939514160156,9.608720779418944,2.8515682220458984
192,in,10,11,2,4.238786697387695,8.473474502563477,1.1352462768554688
193,his,10,12,3,6.256551265716553,10.29220962524414,0.0
194,inviting,10,13,8,20.62660789489746,12.154817581176758,0.0
195,me,10,14,2,16.80869483947754,11.615188598632812,0.5396289825439453
196,down,10,15,4,12.74668025970459,7.060081005096436,4.555107593536377
197,to,10,16,2,5.6189727783203125,10.805752754211426,0.0
198,Styles,10,17,6,20.24047088623047,9.946752548217772,0.8590002059936523
199,to,10,18,2,5.585563659667969,10.79076099395752,0.0
200,spend,10,19,5,11.832843780517578,10.041525840759276,0.7492351531982422
201,my,10,20,2,13.15513038635254,10.821735382080078,0.0
